Book,Page,Chapter,POV,NUN,FullName
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Redwyne/Lannister, wife of Loren Lannister's heir"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,1st of the triplets girls born to Lord Tarth
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,2nd of the triplets girls born to Lord Tarth
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,3rd of the triplets girls born to Lord Tarth
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Lord Tarth, father of triplets daughters"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Corbray, the betrothed to one of the Tarth triplet girls"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Hightower, the betrothed to one of the Tarth triplet girls"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Harlaw, the betrothed to one of the Tarth triplet girls"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Blackwood who took a Bracken wife during a double wedding ceremony organised by Queen Visenya Targaryen
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Bracken who took a Blackwood wife during a double wedding ceremony organised by Queen Visenya Targaryen
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Bracken, wife to a Blackwood man during the double wedding ceremony organised by Queen Visenya Targaryen"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,"Blackwood, wife to a Bracken man during the double wedding ceremony organised by Queen Visenya Targaryen"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Rowan girl in Queen Rhaenys's service who found herself with child by a scullion
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,"A scullion, father of the Rowan girl's bastard"
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Knight in White Harbor who marries the Rowan girl
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Knight in Lannisport willing to foster the bastard of the Rowan girl
Fire and Blood Vol. 1,41,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Bastard of the Rowan girl
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,1st Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,2nd Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,3rd Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,4th Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,5th Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,42,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,6th Maester employed by King Aegon I to deal with all the matters brought before him
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,UN,Lady wife of Lord Edmyn Tully
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,Named,Lord Alton Celtigar
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Maester at Dragonstone under Lord Aerion Targaryen
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Maester at Dragonstone under Lord Daemion Targaryen
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Personal maester of King Aegon I Targaryen
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Personal maester of Queen Rhaenys Targaryen
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Personal maester of Queen Visenya Targaryen
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,Named,"Archmaester Ollidar, the first Grand Maester"
Fire and Blood Vol. 1,46,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,Named,"Archmaester Lyonce, the second Grand Maester"
Fire and Blood Vol. 1,47,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Septon of Aegon I Targaryen at King's Landing
Fire and Blood Vol. 1,47,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,US,Septon of Aegon I Targaryen at Dragonstone
Fire and Blood Vol. 1,47,Three Heads Had the Dragon - Governance Under King Aegon I,Archmaester Gyldayn,Nicknamed,"Lord Monkeyface, Queen Visenya's fool"
Fire and Blood Vol. 1,55,The Sons of the Dragon,Archmaester Gyldayn,Named,"Lord Manfred Hightower, grandson of Lord Manfred during the Conquest. He is also the father of Ceryse Hightower"
Fire and Blood Vol. 1,56,The Sons of the Dragon,Archmaester Gyldayn,Named,Larissa Velaryon/Tarth
Fire and Blood Vol. 1,57,The Sons of the Dragon,Archmaester Gyldayn,UN,"Tarth, 1st son of Lord Tarth"
Fire and Blood Vol. 1,57,The Sons of the Dragon,Archmaester Gyldayn,UN,"Tarth, 2nd son of Lord Tarth who marries Larissa Velaryon in 35 AC"
Fire and Blood Vol. 1,57,The Sons of the Dragon,Archmaester Gyldayn,UN,"Lord Tarth in 35 AC, Larissa Velaryon's father-in-law (he may be the Lord Tarth father of triplet girls)"
Fire and Blood Vol. 1,57,The Sons of the Dragon,Archmaester Gyldayn,Named,Samantha Stokeworth
Fire and Blood Vol. 1,61,The Sons of the Dragon,Archmaester Gyldayn,US,Maester at Storm's End for Lord Orys Baratheon
Fire and Blood Vol. 1,61,The Sons of the Dragon,Archmaester Gyldayn,Named,Melony Piper
Fire and Blood Vol. 1,70,The Sons of the Dragon,Archmaester Gyldayn,Named,Alayne Royce
Fire and Blood Vol. 1,72,The Sons of the Dragon,Archmaester Gyldayn,UN,Lord Mooton host of Aegon and Rhaena Targaryen (he may be Lord Jon Mooton or Lord Mooton who died in 42 AC)
Fire and Blood Vol. 1,77,The Sons of the Dragon,Archmaester Gyldayn,US,Maester at Casterly Rock for Lord Lyman Lannister
Fire and Blood Vol. 1,81,The Sons of the Dragon,Archmaester Gyldayn,UN,"Piper, 2nd brother of Melony Piper (the 1st being Lord Jon Piper), he dies in 43 AC at the Battle Beneath the Gods Eye"
Fire and Blood Vol. 1,81,The Sons of the Dragon,Archmaester Gyldayn,UN,"Piper, 3rd brother of Melony Piper, he dies in 43 AC at the Battle Beneath the Gods Eye"
Fire and Blood Vol. 1,81,The Sons of the Dragon,Archmaester Gyldayn,UN,"Piper, 4th brother of Melony Piper, he survives the Battle Beneath the Gods Eye (he probably becomes Lord after Jon Piper's death)"
Fire and Blood Vol. 1,88,The Sons of the Dragon,Archmaester Gyldayn,Named,"Ser Tyler Hill, bastard son of Lord Lyman Lannister"
Fire and Blood Vol. 1,91,The Sons of the Dragon,Archmaester Gyldayn,UN,"Lord Farman who dies in 43 AC at the Battle Beneath the Gods Eye, he is the father of Lord Marq Farman"
Fire and Blood Vol. 1,91,The Sons of the Dragon,Archmaester Gyldayn,UN,"Farman, older brother of Lord Marq Farman"
Fire and Blood Vol. 1,107,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Archmaester Umbert
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,The King's Justice of Maegor I Targaryen
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,The Lord Confessor of Maegor I Targaryen
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,Chief Goaler of Maegor I Targaryen
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,Commander of the City Watch of King's Landing of Maegor I Targaryen
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Ser Jon Tollett
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Ser Symond Crayne
Fire and Blood Vol. 1,109,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Ser Harrold Langward
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"1st of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"2nd of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"3rd of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"4th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"5th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"6th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"7th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"8th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"9th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"10th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"11th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"12th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"13th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"14th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"15th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"16th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"17th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"18th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"19th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,110,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"20th of the 20 lowborn trulls named as ""Maegor's whores"""
Fire and Blood Vol. 1,111,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,Maester of Jaehaerys I
Fire and Blood Vol. 1,113,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Ser Gyles Morrigen
Fire and Blood Vol. 1,114,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Lady Lucinda Broome/Tully
Fire and Blood Vol. 1,114,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Lord Prentys Tully
Fire and Blood Vol. 1,114,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Lord Rickard Rowan (he was Lord in 48 AC and he could be the Lord Rowan from 43 AC)
Fire and Blood Vol. 1,115,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,"Lord Donnel Hightower, Donnel the Delayer"
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,Woman who killed Septon Moon
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,1st of the 4 Poor Fellows who drank a flagon of poison wine
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,2nd of the 4 Poor Fellows who drank a flagon of poison wine
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,3rd of the 4 Poor Fellows who drank a flagon of poison wine
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,4th of the 4 Poor Fellows who drank a flagon of poison wine
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,"5th of the 12 rivals who wanted to take over Septon Moon's host after his death (the 1st four being : Lord Rickard Rowan, Lord Torgen Oakheart, Rob the Starvling and Lorcas the Learned)"
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,6th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,7th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,8th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,9th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,10th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,11th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,US,12th of the 12 rivals who wanted to take over Septon Moon's host after his death
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Rob the Starvling
Fire and Blood Vol. 1,117,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,Named,Lorcas the Learned
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,1st of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,2nd of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,3rd of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,4th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,5th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,6th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,7th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,8th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,9th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,10th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,11th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,118,Prince into King - The Ascension of Jaehaerys I,Archmaester Gyldayn,UN,12th of the 12 boldest knights of Lord Donnel Hightower
Fire and Blood Vol. 1,124,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,US,Septon at Faircastle in 49 AC for Lord Marq Farman
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,"Elissa Farman, Alys Westhill"
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,Ser Orryn Baratheon
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,Ser Borys Baratheon
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,Ser Garon Baratheon
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,Ser Ronnal Baratheon
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,UN,"Baratheon, 1st nephew of Lord Rogar Baratheon who is old enough to get married in 49 AC"
Fire and Blood Vol. 1,125,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,UN,"Baratheon, 2nd nephew of Lord Rogar Baratheon who is old enough to get married in 49 AC"
Fire and Blood Vol. 1,127,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,UN,First wife of Lord Rogar Baratheon who died from a fever less than 1 year after their wedding
Fire and Blood Vol. 1,127,The Year of the Three Brides - 49 AC,Archmaester Gyldayn,Named,Lady Alarra Massey/Velaryon
