id,paragraphs,cleaned_paragraphs
126,"Aegon made no reply. Instead he summoned his friends, bannermen, and principal allies to attend him on Dragonstone. Their numbers were small. The Velaryons of Driftmark were sworn to House Targaryen, as were the Celtigars of Claw Isle. From Massey’s Hook came Lord Bar Emmon of Sharp Point and Lord Massey of Stonedance, both sworn to Storm’s End, but with closer ties to Dragonstone. Lord Aegon and his sisters took counsel with them, and visited the castle sept to pray to the Seven of Westeros as well, though he had never before been accounted a pious man.",Aegon made reply . Instead summoned friends bannermen principal allies attend Dragonstone . Their numbers small . The Velaryons Driftmark sworn House Targaryen Celtigars Claw Isle . From Massey ’ Hook came Lord Bar Emmon Sharp Point Lord Massey Stonedance sworn Storm ’ End closer ties Dragonstone . Lord Aegon sisters took counsel visited castle sept pray Seven Westeros well though never accounted pious man .
127,"On the seventh day, a cloud of ravens burst from the towers of Dragonstone to bring Lord Aegon’s word to the Seven Kingdoms of Westeros. To the seven kings they flew, to the Citadel of Oldtown, to lords both great and small. All carried the same message: from this day forth there would be but one king in Westeros. Those who bent the knee to Aegon of House Targaryen would keep their lands and titles. Those who took up arms against him would be thrown down, humbled, and destroyed.",On seventh day cloud ravens burst towers Dragonstone bring Lord Aegon ’ word Seven Kingdoms Westeros . To seven kings flew Citadel Oldtown lords great small . All carried message : day forth would one king Westeros . Those bent knee Aegon House Targaryen would keep lands titles . Those took arms would thrown humbled destroyed .
128,"Accounts differ on how many swords set sail from Dragonstone with Aegon and his sisters. Some say three thousand; others number them only in the hundreds. This modest Targaryen host put ashore at the mouth of the Blackwater Rush, on the northern bank where three wooded hills rose above a small fishing village.",Accounts differ many swords set sail Dragonstone Aegon sisters . Some say three thousand ; others number hundreds . This modest Targaryen host put ashore mouth Blackwater Rush northern bank three wooded hills rose small fishing village .
129,"In the days of the Hundred Kingdoms, many petty kings had claimed dominion over the river mouth, amongst them the Darklyn kings of Duskendale, the Masseys of Stonedance, and the river kings of old, be they Mudds, Fishers, Brackens, Blackwoods, or Hooks. Towers and forts had crowned the three hills at various times, only to be thrown",In days Hundred Kingdoms many petty kings claimed dominion river mouth amongst Darklyn kings Duskendale Masseys Stonedance river kings old Mudds Fishers Brackens Blackwoods Hooks . Towers forts crowned three hills various times thrown
131,"down in one war or another. Now only broken stones and overgrown ruins remained to welcome the Targaryens. Though claimed by both Storm’s End and Harrenhal, the river mouth was undefended, and the closest castles were held by lesser lords of no great power or military prowess, and lords moreover who had little reason to love their nominal overlord, Harren the Black.",one war another . Now broken stones overgrown ruins remained welcome Targaryens . Though claimed Storm ’ End Harrenhal river mouth undefended closest castles held lesser lords great power military prowess lords moreover little reason love nominal overlord Harren Black .
132,"Aegon Targaryen quickly threw up a log-and-earth palisade around the highest of the three hills, and dispatched his sisters to secure the submission of the nearest castles. Rosby yielded to Rhaenys and golden-eyed Meraxes without a fight. At Stokeworth a few crossbowmen loosed bolts at Visenya, until Vhagar’s flames set the roofs of the castle keep ablaze. Then they too submitted.",Aegon Targaryen quickly threw log-and-earth palisade around highest three hills dispatched sisters secure submission nearest castles . Rosby yielded Rhaenys golden-eyed Meraxes without fight . At Stokeworth crossbowmen loosed bolts Visenya Vhagar ’ flames set roofs castle keep ablaze . Then submitted .
133,"The Conquerors’ first true test came from Lord Darklyn of Duskendale and Lord Mooton of Maidenpool, who joined their power and marched south with three thousand men to drive the invaders back into the sea. Aegon sent Orys Baratheon out to attack them on the march, whilst he descended on them from above with the Black Dread. Both lords were slain in the one-sided battle that followed; Darklyn’s son and Mooton’s brother thereafter yielded up their castles and swore their swords to House Targaryen. At that time Duskendale was the principal Westerosi port on the narrow sea, and had grown fat and wealthy from the trade that passed through its harbor. Visenya Targaryen did not allow the town to be sacked, but she did not hesitate to claim its riches, greatly swelling the coffers of the Conquerors.",The Conquerors ’ first true test came Lord Darklyn Duskendale Lord Mooton Maidenpool joined power marched south three thousand men drive invaders back sea . Aegon sent Orys Baratheon attack march whilst descended Black Dread . Both lords slain one-sided battle followed ; Darklyn ’ son Mooton ’ brother thereafter yielded castles swore swords House Targaryen . At time Duskendale principal Westerosi port narrow sea grown fat wealthy trade passed harbor . Visenya Targaryen allow town sacked hesitate claim riches greatly swelling coffers Conquerors .
134,This perhaps would be an apt place to discuss the differing characters of Aegon Targaryen and his sisters and queens.,This perhaps would apt place discuss differing characters Aegon Targaryen sisters queens .
135,"Visenya, eldest of the three siblings, was as much a warrior as Aegon himself, as comfortable in ringmail as in silk. She carried the Valyrian longsword Dark Sister, and was skilled in its use, having trained beside her brother since childhood. Though possessed of the silver-gold hair and purple eyes of Valyria, hers was a harsh, austere beauty. Even those who loved her best found Visenya stern, serious, and unforgiving; some said that she played with poisons and dabbled in dark sorceries.",Visenya eldest three siblings much warrior Aegon comfortable ringmail silk . She carried Valyrian longsword Dark Sister skilled use trained beside brother since childhood . Though possessed silver-gold hair purple eyes Valyria harsh austere beauty . Even loved best found Visenya stern serious unforgiving ; said played poisons dabbled dark sorceries .
136,"Rhaenys, youngest of the three Targaryens, was all her sister was not, playful, curious, impulsive, given to flights of fancy. No true warrior, Rhaenys loved music, dancing, and poetry, and supported many a singer, mummer, and puppeteer. Yet it was said that Rhaenys",Rhaenys youngest three Targaryens sister playful curious impulsive given flights fancy . No true warrior Rhaenys loved music dancing poetry supported many singer mummer puppeteer . Yet said Rhaenys
138,"spent more time on dragonback than her brother and sister combined, for above all things she loved to fly. She once was heard to say that before she died she meant to fly Meraxes across the Sunset Sea to see what lay upon its western shores. Whilst no one ever questioned Visenya’s fidelity to her brother-husband, Rhaenys surrounded herself with comely young men, and (it was whispered) even entertained some in her bedchambers on the nights when Aegon was with her elder sister. Yet despite these rumors, observers at court could not fail to note that the king spent ten nights with Rhaenys for every night with Visenya.",spent time dragonback brother sister combined things loved fly . She heard say died meant fly Meraxes across Sunset Sea see lay upon western shores . Whilst one ever questioned Visenya ’ fidelity brother-husband Rhaenys surrounded comely young men ( whispered ) even entertained bedchambers nights Aegon elder sister . Yet despite rumors observers court could fail note king spent ten nights Rhaenys every night Visenya .
139,"Aegon Targaryen himself, strangely, was as much an enigma to his contemporaries as to us. Armed with the Valyrian steel blade Blackfyre, he was counted amongst the greatest warriors of his age, yet he took no pleasure in feats of arms, and never rode in tourney or melee. His mount was Balerion the Black Dread, but he flew only to battle or to travel swiftly across land and sea. His commanding presence drew men to his banners, yet he had no close friends, save Orys Baratheon, the companion of his youth. Women were drawn to him, but Aegon remained ever faithful to his sisters. As king, he put great trust in his small council and his sisters, leaving much of the day- to-day governance of the realm to them…yet did not hesitate to take command when he found it necessary. Though he dealt harshly with rebels and traitors, he was open-handed with former foes who bent the knee.",Aegon Targaryen strangely much enigma contemporaries us . Armed Valyrian steel blade Blackfyre counted amongst greatest warriors age yet took pleasure feats arms never rode tourney melee . His mount Balerion Black Dread flew battle travel swiftly across land sea . His commanding presence drew men banners yet close friends save Orys Baratheon companion youth . Women drawn Aegon remained ever faithful sisters . As king put great trust small council sisters leaving much day- to-day governance realm them…yet hesitate take command found necessary . Though dealt harshly rebels traitors open-handed former foes bent knee .
140,"This he showed for the first time at the Aegonfort, the crude wood- and-earth castle he had raised atop what would henceforth and forever be known as Aegon’s High Hill. Having taken a dozen castles and secured the mouth of the Blackwater Rush on both sides of the river, he commanded the lords he had defeated to attend him. There they laid their swords at his feet, and Aegon raised them up and confirmed them in their lands and titles. To his oldest supporters he gave new honors. Daemon Velaryon, Lord of the Tides, was made master of ships, in command of the royal fleet. Triston Massey, Lord of Stonedance, was named master of laws, Crispian Celtigar master of coin. And Orys Baratheon he proclaimed to be “my shield, my stalwart, my strong right hand.” Thus Baratheon is reckoned by the maesters the first King’s Hand.",This showed first time Aegonfort crude wood- and-earth castle raised atop would henceforth forever known Aegon ’ High Hill . Having taken dozen castles secured mouth Blackwater Rush sides river commanded lords defeated attend . There laid swords feet Aegon raised confirmed lands titles . To oldest supporters gave new honors . Daemon Velaryon Lord Tides made master ships command royal fleet . Triston Massey Lord Stonedance named master laws Crispian Celtigar master coin . And Orys Baratheon proclaimed “ shield stalwart strong right hand. ” Thus Baratheon reckoned maesters first King ’ Hand .
141,"Heraldic banners had long been a tradition amongst the lords of Westeros, but such had never been used by the dragonlords of old",Heraldic banners long tradition amongst lords Westeros never used dragonlords old
143,"Valyria. When Aegon’s knights unfurled his great silken battle standard, with a red three-headed dragon breathing fire upon a black field, the lords took it for a sign that he was now truly one of them, a worthy high king for Westeros. When Queen Visenya placed a Valyrian steel circlet, studded with rubies, on her brother’s head and Queen Rhaenys hailed him as, “Aegon, First of His Name, King of All Westeros, and Shield of His People,” the dragons roared and the lords and knights sent up a cheer…but the smallfolk, the fishermen and fieldhands and goodwives, shouted loudest of all.",Valyria . When Aegon ’ knights unfurled great silken battle standard red three-headed dragon breathing fire upon black field lords took sign truly one worthy high king Westeros . When Queen Visenya placed Valyrian steel circlet studded rubies brother ’ head Queen Rhaenys hailed “ Aegon First His Name King All Westeros Shield His People ” dragons roared lords knights sent cheer…but smallfolk fishermen fieldhands goodwives shouted loudest .
144,"The seven kings that Aegon the Dragon meant to uncrown were not cheering, however. In Harrenhal and Storm’s End, Harren the Black and Argilac the Arrogant had already called their banners. In the west, King Mern of the Reach rode the ocean road north to Casterly Rock to meet with King Loren of House Lannister. The Princess of Dorne dispatched a raven to Dragonstone, offering to join Aegon against Argilac the Storm King…but as an equal and ally, not a subject. Another offer of alliance came from the boy king of the Eyrie, Ronnel Arryn, whose mother asked for all the lands east of the Green Fork of the Trident for the Vale’s support against Black Harren. Even in the North, King Torrhen Stark of Winterfell sat with his lords bannermen and counselors late into the night, discussing what was to be done about this would-be conqueror. The whole realm waited anxiously to see where Aegon would move next.",The seven kings Aegon Dragon meant uncrown cheering however . In Harrenhal Storm ’ End Harren Black Argilac Arrogant already called banners . In west King Mern Reach rode ocean road north Casterly Rock meet King Loren House Lannister . The Princess Dorne dispatched raven Dragonstone offering join Aegon Argilac Storm King…but equal ally subject . Another offer alliance came boy king Eyrie Ronnel Arryn whose mother asked lands east Green Fork Trident Vale ’ support Black Harren . Even North King Torrhen Stark Winterfell sat lords bannermen counselors late night discussing done would-be conqueror . The whole realm waited anxiously see Aegon would move next .
148,"Within days of his coronation, Aegon’s armies were on the march again. The greater part of his host crossed the Blackwater Rush, making south for Storm’s End under the command of Orys Baratheon. Queen Rhaenys accompanied him, astride Meraxes of the golden eyes and silver scales. The Targaryen fleet, under Daemon Velaryon, left Blackwater Bay and turned north, for Gulltown and the Vale. With",Within days coronation Aegon ’ armies march . The greater part host crossed Blackwater Rush making south Storm ’ End command Orys Baratheon . Queen Rhaenys accompanied astride Meraxes golden eyes silver scales . The Targaryen fleet Daemon Velaryon left Blackwater Bay turned north Gulltown Vale . With
150,"them went Queen Visenya and Vhagar. The king himself marched northwest, to the Gods Eye and Harrenhal, the gargantuan fortress that was the pride and obsession of King Harren the Black.",went Queen Visenya Vhagar . The king marched northwest Gods Eye Harrenhal gargantuan fortress pride obsession King Harren Black .
151,"All three of the Targaryen thrusts faced fierce opposition. Lords Errol, Fell, and Buckler, bannermen to Storm’s End, surprised the advance elements of Orys Baratheon’s host as they were crossing the Wendwater, cutting down more than a thousand men before fading back into the trees. A hastily assembled Arryn fleet, augmented by a dozen Braavosi warships, met and defeated the Targaryen fleet in the waters off Gulltown. Amongst the dead was Aegon’s admiral, Daemon Velaryon. Aegon himself was attacked on the south shore of the Gods Eye, not once but twice. The Battle of the Reeds was a Targaryen victory, but they suffered heavy losses at the Wailing Willows when two of King Harren’s sons crossed the lake in longboats with muffled oars and fell upon their rear.",All three Targaryen thrusts faced fierce opposition . Lords Errol Fell Buckler bannermen Storm ’ End surprised advance elements Orys Baratheon ’ host crossing Wendwater cutting thousand men fading back trees . A hastily assembled Arryn fleet augmented dozen Braavosi warships met defeated Targaryen fleet waters Gulltown . Amongst dead Aegon ’ admiral Daemon Velaryon . Aegon attacked south shore Gods Eye twice . The Battle Reeds Targaryen victory suffered heavy losses Wailing Willows two King Harren ’ sons crossed lake longboats muffled oars fell upon rear .
